Day,ModelStep,FarmID,AnimalID,AnimalStatus,AnimalStage,DaysInfected,DaysExposed,DaysCarrier,AnimalTreatment,DaysTreated,DaysSinceTreatment,DaysDry,TradeStatus,AnimalBactoPop,AnimalAge,AgentType,DIM,PregStat,dic,psc_2,msd_2,CurrentLac,CalvingSeason,SpringLac,CurrentSpring,AutumnLac,CurrentAutumn
2021-09-24,85,1,127,S,L,0,0,0,U,0,0,0,false,0,1914,Joined,158,P,59,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,116,S,L,0,0,0,U,0,0,0,false,0,2697,Joined,159,P,56,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,106,IS,L,0,0,0,U,0,0,0,false,0,2577,Joined,130,P,7,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,109,IS,L,0,0,0,U,0,0,0,false,0,1278,Joined,140,P,45,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,107,IS,L,0,0,0,U,0,0,0,false,0,1075,Joined,121,P,36,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,128,S,L,0,0,0,U,0,0,0,false,0,2737,Joined,127,P,78,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,129,S,L,0,0,0,U,0,0,0,false,0,2560,Joined,152,P,52,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,120,S,L,0,0,0,U,0,0,0,false,0,2599,Joined,131,P,41,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,105,IS,L,0,0,0,U,0,0,0,false,0,1695,Joined,140,P,29,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-24,85,1,113,S,L,0,0,0,U,0,0,0,false,0,2932,Joined,127,P,62,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,110,IR,L,0,0,0,U,0,0,0,false,0,1552,Joined,163,P,23,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,114,S,L,0,0,0,U,0,0,0,false,0,1954,Joined,165,P,75,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,123,S,L,0,0,0,U,0,0,0,false,0,1129,Joined,149,P,39,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,117,S,L,0,0,0,U,0,0,0,false,0,2103,Joined,107,P,38,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,115,S,L,0,0,0,U,0,0,0,false,0,1421,Joined,154,P,13,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,112,S,L,0,0,0,U,0,0,0,false,0,1243,Joined,142,P,59,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,122,S,L,0,0,0,U,0,0,0,false,0,1348,Joined,174,P,21,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,111,S,L,0,0,0,U,0,0,0,false,0,878,Joined,164,P,74,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,118,S,L,0,0,0,U,0,0,0,false,0,2396,Joined,109,P,79,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,119,S,L,0,0,0,U,0,0,0,false,0,1398,Joined,148,P,67,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,126,S,L,0,0,0,U,0,0,0,false,0,2087,Joined,143,P,47,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,108,IS,L,0,0,0,U,0,0,0,false,0,1793,Joined,143,P,66,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,124,S,L,0,0,0,U,0,0,0,false,0,1147,Joined,98,P,44,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,127,S,L,0,0,0,U,0,0,0,false,0,1915,Joined,159,P,60,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,116,S,L,0,0,0,U,0,0,0,false,0,2698,Joined,160,P,57,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,106,IS,L,0,0,0,U,0,0,0,false,0,2578,Joined,131,P,8,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,109,IS,L,0,0,0,U,0,0,0,false,0,1279,Joined,141,P,46,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,107,IS,L,0,0,0,U,0,0,0,false,0,1076,Joined,122,P,37,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,128,S,L,0,0,0,U,0,0,0,false,0,2738,Joined,128,P,79,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,129,S,L,0,0,0,U,0,0,0,false,0,2561,Joined,153,P,53,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,120,S,L,0,0,0,U,0,0,0,false,0,2600,Joined,132,P,42,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,105,IS,L,0,0,0,U,0,0,0,false,0,1696,Joined,141,P,30,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-25,86,1,113,S,L,0,0,0,U,0,0,0,false,0,2933,Joined,128,P,63,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,110,IR,L,0,0,0,U,0,0,0,false,0,1553,Joined,164,P,24,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,114,S,L,0,0,0,U,0,0,0,false,0,1955,Joined,166,P,76,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,123,S,L,0,0,0,U,0,0,0,false,0,1130,Joined,150,P,40,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,117,S,L,0,0,0,U,0,0,0,false,0,2104,Joined,108,P,39,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,115,S,L,0,0,0,U,0,0,0,false,0,1422,Joined,155,P,14,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,112,S,L,0,0,0,U,0,0,0,false,0,1244,Joined,143,P,60,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,122,S,L,0,0,0,U,0,0,0,false,0,1349,Joined,175,P,22,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,111,S,L,0,0,0,U,0,0,0,false,0,879,Joined,165,P,75,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,118,S,L,0,0,0,U,0,0,0,false,0,2397,Joined,110,P,80,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,119,S,L,0,0,0,U,0,0,0,false,0,1399,Joined,149,P,68,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,126,S,L,0,0,0,U,0,0,0,false,0,2088,Joined,144,P,48,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,108,IS,L,0,0,0,U,0,0,0,false,0,1794,Joined,144,P,67,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,124,S,L,0,0,0,U,0,0,0,false,0,1148,Joined,99,P,45,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,127,S,L,0,0,0,U,0,0,0,false,0,1916,Joined,160,P,61,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,116,S,L,0,0,0,U,0,0,0,false,0,2699,Joined,161,P,58,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,106,IS,L,0,0,0,U,0,0,0,false,0,2579,Joined,132,P,9,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,109,IS,L,0,0,0,U,0,0,0,false,0,1280,Joined,142,P,47,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,107,IS,L,0,0,0,U,0,0,0,false,0,1077,Joined,123,P,38,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,128,S,L,0,0,0,U,0,0,0,false,0,2739,Joined,129,P,80,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,129,S,L,0,0,0,U,0,0,0,false,0,2562,Joined,154,P,54,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,120,S,L,0,0,0,U,0,0,0,false,0,2601,Joined,133,P,43,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,105,IS,L,0,0,0,U,0,0,0,false,0,1697,Joined,142,P,31,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-26,87,1,113,S,L,0,0,0,U,0,0,0,false,0,2934,Joined,129,P,64,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,110,IR,L,0,0,0,U,0,0,0,false,0,1554,Joined,165,P,25,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,114,S,L,0,0,0,U,0,0,0,false,0,1956,Joined,167,P,77,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,123,S,L,0,0,0,U,0,0,0,false,0,1131,Joined,151,P,41,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,117,S,L,0,0,0,U,0,0,0,false,0,2105,Joined,109,P,40,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,115,S,L,0,0,0,U,0,0,0,false,0,1423,Joined,156,P,15,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,112,S,L,0,0,0,U,0,0,0,false,0,1245,Joined,144,P,61,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,122,S,L,0,0,0,U,0,0,0,false,0,1350,Joined,176,P,23,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,111,S,L,0,0,0,U,0,0,0,false,0,880,Joined,166,P,76,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,118,S,L,0,0,0,U,0,0,0,false,0,2398,Joined,111,P,81,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,119,S,L,0,0,0,U,0,0,0,false,0,1400,Joined,150,P,69,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,126,S,L,0,0,0,U,0,0,0,false,0,2089,Joined,145,P,49,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,108,IS,L,0,0,0,U,0,0,0,false,0,1795,Joined,145,P,68,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,124,S,L,0,0,0,U,0,0,0,false,0,1149,Joined,100,P,46,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,127,S,L,0,0,0,U,0,0,0,false,0,1917,Joined,161,P,62,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,116,S,L,0,0,0,U,0,0,0,false,0,2700,Joined,162,P,59,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,106,IS,L,0,0,0,U,0,0,0,false,0,2580,Joined,133,P,10,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,109,IS,L,0,0,0,U,0,0,0,false,0,1281,Joined,143,P,48,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,107,IS,L,0,0,0,U,0,0,0,false,0,1078,Joined,124,P,39,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,128,S,L,0,0,0,U,0,0,0,false,0,2740,Joined,130,P,81,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,129,S,L,0,0,0,U,0,0,0,false,0,2563,Joined,155,P,55,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,120,S,L,0,0,0,U,0,0,0,false,0,2602,Joined,134,P,44,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,105,IS,L,0,0,0,U,0,0,0,false,0,1698,Joined,143,P,32,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-27,88,1,113,S,L,0,0,0,U,0,0,0,false,0,2935,Joined,130,P,65,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,110,IR,L,0,0,0,U,0,0,0,false,0,1555,Joined,166,P,26,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,114,S,L,0,0,0,U,0,0,0,false,0,1957,Joined,168,P,78,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,123,S,L,0,0,0,U,0,0,0,false,0,1132,Joined,152,P,42,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,117,S,L,0,0,0,U,0,0,0,false,0,2106,Joined,110,P,41,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,115,S,L,0,0,0,U,0,0,0,false,0,1424,Joined,157,P,16,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,112,S,L,0,0,0,U,0,0,0,false,0,1246,Joined,145,P,62,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,122,S,L,0,0,0,U,0,0,0,false,0,1351,Joined,177,P,24,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,111,S,L,0,0,0,U,0,0,0,false,0,881,Joined,167,P,77,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,118,S,L,0,0,0,U,0,0,0,false,0,2399,Joined,112,P,82,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,119,S,L,0,0,0,U,0,0,0,false,0,1401,Joined,151,P,70,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,126,S,L,0,0,0,U,0,0,0,false,0,2090,Joined,146,P,50,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,108,IS,L,0,0,0,U,0,0,0,false,0,1796,Joined,146,P,69,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,124,S,L,0,0,0,U,0,0,0,false,0,1150,Joined,101,P,47,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,127,S,L,0,0,0,U,0,0,0,false,0,1918,Joined,162,P,63,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,116,S,L,0,0,0,U,0,0,0,false,0,2701,Joined,163,P,60,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,106,IS,L,0,0,0,U,0,0,0,false,0,2581,Joined,134,P,11,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,109,IS,L,0,0,0,U,0,0,0,false,0,1282,Joined,144,P,49,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,107,IS,L,0,0,0,U,0,0,0,false,0,1079,Joined,125,P,40,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,128,S,L,0,0,0,U,0,0,0,false,0,2741,Joined,131,P,82,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,129,S,L,0,0,0,U,0,0,0,false,0,2564,Joined,156,P,56,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,120,S,L,0,0,0,U,0,0,0,false,0,2603,Joined,135,P,45,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,105,IS,L,0,0,0,U,0,0,0,false,0,1699,Joined,144,P,33,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-28,89,1,113,S,L,0,0,0,U,0,0,0,false,0,2936,Joined,131,P,66,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,110,IR,L,0,0,0,U,0,0,0,false,0,1556,Joined,167,P,27,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,114,S,L,0,0,0,U,0,0,0,false,0,1958,Joined,169,P,79,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,123,S,L,0,0,0,U,0,0,0,false,0,1133,Joined,153,P,43,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,117,S,L,0,0,0,U,0,0,0,false,0,2107,Joined,111,P,42,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,115,S,L,0,0,0,U,0,0,0,false,0,1425,Joined,158,P,17,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,112,S,L,0,0,0,U,0,0,0,false,0,1247,Joined,146,P,63,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,122,S,L,0,0,0,U,0,0,0,false,0,1352,Joined,178,P,25,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,111,S,L,0,0,0,U,0,0,0,false,0,882,Joined,168,P,78,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,118,S,L,0,0,0,U,0,0,0,false,0,2400,Joined,113,P,83,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,119,S,L,0,0,0,U,0,0,0,false,0,1402,Joined,152,P,71,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,126,S,L,0,0,0,U,0,0,0,false,0,2091,Joined,147,P,51,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,108,IS,L,0,0,0,U,0,0,0,false,0,1797,Joined,147,P,70,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,124,S,L,0,0,0,U,0,0,0,false,0,1151,Joined,102,P,48,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,127,S,L,0,0,0,U,0,0,0,false,0,1919,Joined,163,P,64,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,116,S,L,0,0,0,U,0,0,0,false,0,2702,Joined,164,P,61,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,106,IS,L,0,0,0,U,0,0,0,false,0,2582,Joined,135,P,12,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,109,IS,L,0,0,0,U,0,0,0,false,0,1283,Joined,145,P,50,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,107,IS,L,0,0,0,U,0,0,0,false,0,1080,Joined,126,P,41,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,128,S,L,0,0,0,U,0,0,0,false,0,2742,Joined,132,P,83,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,129,S,L,0,0,0,U,0,0,0,false,0,2565,Joined,157,P,57,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,120,S,L,0,0,0,U,0,0,0,false,0,2604,Joined,136,P,46,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,105,IS,L,0,0,0,U,0,0,0,false,0,1700,Joined,145,P,34,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-29,90,1,113,S,L,0,0,0,U,0,0,0,false,0,2937,Joined,132,P,67,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,110,IR,L,0,0,0,U,0,0,0,false,0,1557,Joined,168,P,28,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,114,S,L,0,0,0,U,0,0,0,false,0,1959,Joined,170,P,80,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,123,S,L,0,0,0,U,0,0,0,false,0,1134,Joined,154,P,44,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,117,S,L,0,0,0,U,0,0,0,false,0,2108,Joined,112,P,43,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,115,S,L,0,0,0,U,0,0,0,false,0,1426,Joined,159,P,18,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,112,S,L,0,0,0,U,0,0,0,false,0,1248,Joined,147,P,64,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,122,S,L,0,0,0,U,0,0,0,false,0,1353,Joined,179,P,26,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,111,S,L,0,0,0,U,0,0,0,false,0,883,Joined,169,P,79,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,118,S,L,0,0,0,U,0,0,0,false,0,2401,Joined,114,P,84,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,119,S,L,0,0,0,U,0,0,0,false,0,1403,Joined,153,P,72,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,126,S,L,0,0,0,U,0,0,0,false,0,2092,Joined,148,P,52,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,108,IS,L,0,0,0,U,0,0,0,false,0,1798,Joined,148,P,71,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,124,S,L,0,0,0,U,0,0,0,false,0,1152,Joined,103,P,49,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,127,S,L,0,0,0,U,0,0,0,false,0,1920,Joined,164,P,65,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,116,S,L,0,0,0,U,0,0,0,false,0,2703,Joined,165,P,62,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,106,IS,L,0,0,0,U,0,0,0,false,0,2583,Joined,136,P,13,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,109,IS,L,0,0,0,U,0,0,0,false,0,1284,Joined,146,P,51,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,107,IS,L,0,0,0,U,0,0,0,false,0,1081,Joined,127,P,42,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,128,S,L,0,0,0,U,0,0,0,false,0,2743,Joined,133,P,84,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,129,S,L,0,0,0,U,0,0,0,false,0,2566,Joined,158,P,58,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,120,S,L,0,0,0,U,0,0,0,false,0,2605,Joined,137,P,47,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,105,IS,L,0,0,0,U,0,0,0,false,0,1701,Joined,146,P,35,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-09-30,91,1,113,S,L,0,0,0,U,0,0,0,false,0,2938,Joined,133,P,68,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,110,IR,L,0,0,0,U,0,0,0,false,0,1558,Joined,169,P,29,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,114,S,L,0,0,0,U,0,0,0,false,0,1960,Joined,171,P,81,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,123,S,L,0,0,0,U,0,0,0,false,0,1135,Joined,155,P,45,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,117,S,L,0,0,0,U,0,0,0,false,0,2109,Joined,113,P,44,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,115,S,L,0,0,0,U,0,0,0,false,0,1427,Joined,160,P,19,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,112,S,L,0,0,0,U,0,0,0,false,0,1249,Joined,148,P,65,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,122,S,L,0,0,0,U,0,0,0,false,0,1354,Joined,180,P,27,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,111,S,L,0,0,0,U,0,0,0,false,0,884,Joined,170,P,80,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,118,S,L,0,0,0,U,0,0,0,false,0,2402,Joined,115,P,85,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,119,S,L,0,0,0,U,0,0,0,false,0,1404,Joined,154,P,73,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
2021-10-01,92,1,126,S,L,0,0,0,U,0,0,0,false,0,2093,Joined,149,P,53,2021-10-03,2021-12-24,81,B4,NA,NA,NA,NA
