step,stage_c_stage,stage_w_stage,stage_h_stage,stage_l_stage,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment
36,27,8,23,50,5,96,0,0,3,1,2,0,10
37,28,8,22,51,4,97,0,0,4,1,2,0,10
38,29,8,22,51,4,98,0,0,4,1,2,0,10
39,29,8,22,51,4,98,0,0,4,1,2,0,10
40,30,8,22,51,4,99,0,0,4,1,2,0,10
41,30,8,22,51,4,99,0,0,4,1,2,0,10
42,30,8,22,51,3,99,0,0,5,1,2,0,10
43,30,9,22,51,3,100,0,0,5,1,2,0,10
44,30,9,22,51,3,100,0,0,5,1,2,0,10
45,29,11,22,51,3,101,0,0,5,1,2,0,10
46,30,11,22,51,3,102,0,0,5,1,2,0,10
47,31,11,22,51,3,103,0,0,5,1,2,0,10
48,31,11,21,52,3,103,0,0,4,1,3,0,10
49,30,12,21,52,3,103,0,0,4,1,3,0,10
50,31,12,21,52,3,103,0,0,3,1,4,0,10
51,32,12,21,51,4,102,0,0,3,1,4,0,10
52,32,12,21,51,5,101,0,0,3,1,4,0,10
53,31,13,21,51,5,100,0,0,2,1,5,0,10
54,30,14,21,51,5,100,0,0,2,1,5,0,10
55,29,15,20,52,5,100,0,0,2,1,5,0,10
56,28,17,20,52,5,101,0,0,2,1,5,0,10
57,29,17,20,52,4,102,0,0,3,1,5,1,10
58,29,17,20,52,4,102,0,0,3,1,5,1,10
59,29,18,20,52,4,103,0,0,3,1,5,1,10
60,30,18,20,52,4,104,0,0,3,1,5,1,10
61,30,18,20,52,3,105,0,0,3,1,5,1,10
62,29,19,20,52,3,105,0,0,3,1,5,0,11
63,29,19,20,52,3,105,0,0,3,1,5,0,11
64,29,19,20,52,3,105,0,0,3,1,5,0,11
65,29,20,20,52,3,106,0,0,3,1,5,0,11
66,29,21,19,53,3,107,0,0,3,1,5,0,11
67,29,21,19,53,3,107,0,0,3,1,5,0,11
68,28,22,19,53,3,106,0,0,3,1,5,0,11
69,28,22,19,53,3,105,0,0,3,1,5,0,11
70,27,23,19,53,2,105,0,0,4,1,5,0,11
71,28,23,19,53,3,105,0,0,4,1,5,0,11
72,27,24,19,53,3,105,0,0,3,1,6,1,11
73,26,25,19,53,3,105,0,0,2,1,7,1,11
74,26,26,19,53,3,105,0,0,2,1,7,1,11
75,26,27,19,53,3,106,0,0,2,1,7,1,11
76,25,28,19,53,3,105,0,0,2,1,7,1,11
77,25,28,19,53,3,105,0,0,1,1,8,0,12
78,25,28,19,53,3,105,0,0,1,1,8,0,12
79,25,28,19,53,3,105,0,0,1,1,8,0,12
80,26,28,19,53,3,106,0,0,1,1,8,0,12
81,27,28,19,53,3,107,0,0,1,1,8,0,12
82,27,28,19,53,3,107,0,0,1,1,8,0,12
83,27,29,19,53,2,108,0,0,2,1,8,0,12
84,28,29,19,53,2,109,0,0,2,1,8,0,12
85,28,30,19,53,2,110,0,0,2,1,8,0,12
86,28,30,19,53,2,110,0,0,2,1,8,0,12
87,28,31,19,53,2,111,0,0,2,1,8,0,12
88,27,32,19,53,2,111,0,0,2,1,8,0,12
89,27,32,19,53,2,111,0,0,2,1,8,0,12
90,27,33,19,53,2,112,0,0,2,1,8,0,12
91,26,34,19,53,2,111,0,0,2,1,8,0,12
92,26,34,19,53,2,111,0,0,2,1,8,0,12
93,26,34,19,53,1,111,0,0,3,1,8,0,12
94,25,35,19,53,1,111,0,0,3,1,8,0,12
95,25,35,19,53,1,111,0,0,3,1,8,0,12
96,25,35,19,53,1,111,0,0,2,1,9,0,12
97,24,36,18,54,1,111,0,0,2,1,9,0,12
98,23,37,18,54,2,110,0,0,2,1,9,0,12
99,23,37,18,54,2,110,0,0,2,1,9,1,12
100,22,38,17,55,3,109,0,0,2,1,9,1,12
